,links
94,https://www.domestika.org/en/courses/106-the-superhero-comic-narrative-and-graphic-design
95,https://www.domestika.org/en/courses/107-creative-photography-and-photocomposition-with-photoshop
96,https://www.domestika.org/en/courses/109-design-an-interactive-publication-with-indesign-and-button
97,https://www.domestika.org/en/courses/110-branding-and-packaging-for-craft-beer
98,https://www.domestika.org/en/courses/111-papercraft-volumetric-illustration-on-paper
99,https://www.domestika.org/en/courses/112-creation-of-a-professional-website-with-wordpress
100,https://www.domestika.org/en/courses/113-design-merchandise-for-musicians
101,https://www.domestika.org/en/courses/114-3d-lettering-modelling-and-texturising-with-cinema-4d
102,https://www.domestika.org/en/courses/115-illustration-and-creation-of-a-paper-theater
103,https://www.domestika.org/en/courses/116-design-monograms-with-style
104,https://www.domestika.org/en/courses/117-creation-of-origami-lamps-with-paper
105,https://www.domestika.org/en/courses/118-animation-of-tv-bumpers-with-motion-graphics
106,https://www.domestika.org/en/courses/119-fashion-design-from-the-textile-design-to-the-communication-plan
107,https://www.domestika.org/en/courses/120-how-to-design-a-tattoo
108,https://www.domestika.org/en/courses/121-design-a-digital-font-from-a-to-z
109,https://www.domestika.org/en/courses/122-secrets-of-photomontage-and-creative-retouching
110,https://www.domestika.org/en/courses/123-amigurumi-creation-of-characters-through-crochet
111,https://www.domestika.org/en/courses/124-animated-lettering
112,https://www.domestika.org/en/courses/125-design-and-illustration-of-a-fanzine
113,https://www.domestika.org/en/courses/126-developing-raw-files-on-lightroom-classic
114,https://www.domestika.org/en/courses/127-design-of-calligraphy-logos
115,https://www.domestika.org/en/courses/128-creation-of-comics-with-manga-studio-clip-studio-paint
116,https://www.domestika.org/en/courses/129-orthotypography-for-designers
117,https://www.domestika.org/en/courses/130-integration-of-3d-elements-using-vfx-techniques
118,https://www.domestika.org/en/courses/132-photography-for-fashion-and-digital-retouching
119,https://www.domestika.org/en/courses/133-portrait-illustrated-with-photoshop
120,https://www.domestika.org/en/courses/134-2d-animation-with-photoshop
121,https://www.domestika.org/en/courses/136-rotoscoping-draw-an-animation-frame-by-frame
122,https://www.domestika.org/en/courses/137-typography-and-branding-design-an-iconic-logo
123,https://www.domestika.org/en/courses/138-drawing-for-beginners-level-1
124,https://www.domestika.org/en/courses/139-introduction-to-e-mail-marketing-with-mailchimp
125,https://www.domestika.org/en/courses/140-strategy-and-creativity-to-design-brand-names
126,https://www.domestika.org/en/courses/141-corporate-illustration-vectorial-style-guide
127,https://www.domestika.org/en/courses/142-studio-photography-lighting-as-a-creative-resource
128,https://www.domestika.org/en/courses/143-representation-of-architectural-spaces-with-3d-studio-max
129,https://www.domestika.org/en/courses/144-photographic-post-production-for-imagination
130,https://www.domestika.org/en/courses/145-illustration-techniques-in-pixel-art
131,https://www.domestika.org/en/courses/146-illustration-of-vectorial-caricatures
132,https://www.domestika.org/en/courses/147-experimental-typographic-design-with-processing
133,https://www.domestika.org/en/courses/148-corporate-typography
134,https://www.domestika.org/en/courses/149-credit-titles-animated-with-3d-cameras-and-after-effects
135,https://www.domestika.org/en/courses/150-advanced-techniques-for-vectorial-illustration
136,https://www.domestika.org/en/courses/151-copywriting-define-the-tone-of-your-personal-brand
137,https://www.domestika.org/en/courses/152-express-introduction-to-3d-from-zero-to-render-with-cinema-4d
138,https://www.domestika.org/en/courses/153-creative-studio-photography-with-scale-models
139,https://www.domestika.org/en/courses/154-modern-watercolor-techniques
140,https://www.domestika.org/en/courses/155-fileteado-porteno-illustration-and-ornamentation-of-posters
141,https://www.domestika.org/en/courses/156-photography-for-social-media-lifestyle-branding-on-instagram
142,https://www.domestika.org/en/courses/157-illustration-of-storyboards-for-cinema-and-advertising
143,https://www.domestika.org/en/courses/158-stop-motion-frame-by-frame-animation
144,https://www.domestika.org/en/courses/159-prototypes-and-product-viewing-in-cinema-4d
145,https://www.domestika.org/en/courses/160-advertising-creativity-for-all-audiences
146,https://www.domestika.org/en/courses/161-planning-and-management-for-a-creative-studio
147,https://www.domestika.org/en/courses/162-design-of-textile-prints
148,https://www.domestika.org/en/courses/163-digital-shading-techniques
149,https://www.domestika.org/en/courses/164-textile-toys-design-and-creation-of-fabric-characters
150,https://www.domestika.org/en/courses/165-animated-micro-stories-with-after-effects
151,https://www.domestika.org/en/courses/167-photography-of-shiny-objects-and-lighting-tips
152,https://www.domestika.org/en/courses/168-lettering-as-an-identity
153,https://www.domestika.org/en/courses/169-svg-vectorial-graphics-illustrate-and-animate-with-code
154,https://www.domestika.org/en/courses/170-packaging-design-experience-of-unboxing-products-sent-by-post
155,https://www.domestika.org/en/courses/171-video-production-and-edition-with-dslr-camera-and-adobe-premiere
156,https://www.domestika.org/en/courses/172-creative-techniques-for-design-and-illustration-of-characters
157,https://www.domestika.org/en/courses/173-creative-ceramics-give-shape-to-your-ideas-with-artisanal-technique
158,https://www.domestika.org/en/courses/174-lettering-and-illustration-composition-techniques-and-application
159,https://www.domestika.org/en/courses/175-introduction-to-children-s-illustration
160,https://www.domestika.org/en/courses/176-character-modelling-in-maya
161,https://www.domestika.org/en/courses/177-photography-as-an-expressive-and-artistic-means
162,https://www.domestika.org/en/courses/178-freelance-keys-and-tools-to-find-success-as-your-own-boss
163,https://www.domestika.org/en/courses/179-character-design-from-the-sketch-to-the-final-art
164,https://www.domestika.org/en/courses/180-large-format-lettering
165,https://www.domestika.org/en/courses/181-express-animation-for-social-media-with-after-effects
166,https://www.domestika.org/en/courses/183-prototype-and-ux-design-for-e-commerce-apps
167,https://www.domestika.org/en/courses/185-brushes-and-pixels-introduction-to-digital-painting-in-photoshop
168,https://www.domestika.org/en/courses/188-microtypography-basics-of-typographical-composition
169,https://www.domestika.org/en/courses/189-embroidery-techniques-illustrating-with-needle-and-thread
170,https://www.domestika.org/en/courses/190-creation-of-pop-art-images-with-daily-objects
171,https://www.domestika.org/en/courses/191-digital-art-direction
172,https://www.domestika.org/en/courses/193-art-direction-for-motion-graphics
173,https://www.domestika.org/en/courses/194-branding-in-three-times-brief-concept-and-visual-creation
174,https://www.domestika.org/en/courses/195-rigging-body-articulation-of-a-3d-character
175,https://www.domestika.org/en/courses/196-introduction-to-oil-paint-illustration
176,https://www.domestika.org/en/courses/197-digital-illustration-with-coloured-pencils
177,https://www.domestika.org/en/courses/198-experimental-illustration-techniques-from-digital-to-artisanal
178,https://www.domestika.org/en/courses/199-introduction-to-spray-painting
179,https://www.domestika.org/en/courses/200-calligraphy-with-a-ruling-pen
180,https://www.domestika.org/en/courses/201-basic-principles-of-3d-animation
181,https://www.domestika.org/en/courses/202-initiation-to-concept-art-designing-the-future
182,https://www.domestika.org/en/courses/203-responsive-web-design-with-adobe-muse
183,https://www.domestika.org/en/courses/204-consumer-goods-packaging-design
184,https://www.domestika.org/en/courses/205-creative-fashion-directing
185,https://www.domestika.org/en/courses/206-illustrated-portrait-in-watercolor
186,https://www.domestika.org/en/courses/207-editorial-photography-for-beauty-and-digital-retouching
187,https://www.domestika.org/en/courses/208-introduction-to-interior-design
188,https://www.domestika.org/en/courses/210-art-direction-and-creativity-in-movement
189,https://www.domestika.org/en/courses/211-animation-from-scratch-with-adobe-animate
190,https://www.domestika.org/en/courses/212-branded-content-and-content-curation-for-your-personal-brand
191,https://www.domestika.org/en/courses/213-techniques-applied-to-watercolour-illustration
192,https://www.domestika.org/en/courses/214-cinema-lettering
193,https://www.domestika.org/en/courses/215-character-design-for-concept-art
194,https://www.domestika.org/en/courses/216-inking-techniques-for-comics-and-illustration
195,https://www.domestika.org/en/courses/218-editorial-design-how-a-book-is-made
196,https://www.domestika.org/en/courses/219-vector-pattern-creation-and-commercialization
197,https://www.domestika.org/en/courses/220-needle-felting-creation-of-characters-with-needle-and-thread
198,https://www.domestika.org/en/courses/221-information-design-for-curious-readers
199,https://www.domestika.org/en/courses/222-introduction-to-illustration-with-india-ink
200,https://www.domestika.org/en/courses/223-creative-photography-and-conceptual-portrait
201,https://www.domestika.org/en/courses/224-introduction-to-toon-boom-harmony-for-animation-of-2d-characters
202,https://www.domestika.org/en/courses/225-creation-of-photo-realistic-3d-images
203,https://www.domestika.org/en/courses/226-photograph-retouching-for-fashion-and-beauty-with-photoshop
204,https://www.domestika.org/en/courses/227-professional-photography-for-instagram
205,https://www.domestika.org/en/courses/228-advanced-animation-of-3d-characters
206,https://www.domestika.org/en/courses/229-animation-and-design-of-characters-in-after-effects
207,https://www.domestika.org/en/courses/230-realistic-illustration-with-coloured-pens
208,https://www.domestika.org/en/courses/231-professional-audiovisual-editing-with-adobe-premiere-pro
209,https://www.domestika.org/en/courses/232-illustration-with-pastel-and-coloured-pencils
210,https://www.domestika.org/en/courses/233-advanced-papercraft-techniques-designing-with-paper
211,https://www.domestika.org/en/courses/234-creativity-generating-ideas-through-technology-and-storytelling
212,https://www.domestika.org/en/courses/235-2d-animation-with-photoshop-draw-camera-action
213,https://www.domestika.org/en/courses/236-introduction-to-social-media-for-creative-entrepreneurs
214,https://www.domestika.org/en/courses/238-photograph-retouching-and-visual-effects-with-photoshop
215,https://www.domestika.org/en/courses/239-concept-art-for-video-games
216,https://www.domestika.org/en/courses/240-professional-modelling-of-3d-cartoon-characters
217,https://www.domestika.org/en/courses/241-illustration-with-paint-and-mixed-technique
218,https://www.domestika.org/en/courses/242-introduction-to-digital-marketing-on-instagram
219,https://www.domestika.org/en/courses/243-color-grading-with-davinci-resolve
